date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-06-30,105203.39207026921,2266.865231215999,2394.415689190163,610,303,387,221,214,151,56,120,0,0
2020-07-01,105210.8832789617,2401.9068978826654,2755.93064645512,672,332,377,289,276,202,62,144,0,0
2020-07-02,104856.83730816703,2401.884675660443,2592.0367070611806,738,342,285,242,295,156,59,135,0,0
2020-07-03,104585.03376161477,2320.233160508928,1281.870040394514,496,202,148,110,102,60,17,44,0,0
2020-07-04,105233.39688172919,1930.233160508928,974.870040394514,479,171,71,44,49,29,6,22,0,0
2020-07-05,106144.1350018436,1885.608160508928,999.370040394514,484,205,65,48,57,24,11,22,0,0
2020-07-06,106923.7961988811,1779.031237432005,2937.965999990474,706,666,503,244,217,162,62,117,1,0
2020-07-07,106424.74527470647,2438.9150758158435,2869.5209999904737,605,351,467,289,341,175,95,186,2,0
2020-07-08,106396.46935053184,2841.2450758158434,2876.4852857047595,681,295,309,250,325,240,108,251,8,0
2020-07-09,107441.72914064291,3921.7450758158434,2746.040841260315,729,413,253,293,312,185,75,159,5,0
2020-07-10,107339.60004186511,2643.91174248251,2264.6873059067793,702,361,197,203,242,164,40,106,4,0
2020-07-11,107448.69316530954,2373.7804293511967,1040.5873059067796,474,182,94,59,63,36,11,24,1,0
2020-07-12,108300.68628875395,1892.580429351197,979.5873059067795,439,199,94,49,49,28,16,17,0,0
2020-07-13,109042.67941219837,1721.5804293511967,3395.264578634052,656,681,505,240,280,212,98,179,11,0
2020-07-14,108503.26344473369,2855.8486111693787,2567.023232480206,667,295,419,229,263,177,64,143,2,0
2020-07-15,108609.26007342286,2673.0198611693786,2870.6393940963676,800,309,365,272,266,172,70,114,3,0
2020-07-16,108624.12273082018,2885.502051493674,2626.6585817714376,761,366,297,292,285,188,63,109,1,0
2020-07-17,108509.07208289535,2511.607933846615,2530.1585817714376,772,426,238,242,269,156,63,117,4,0
2020-07-18,108473.52143497052,2494.607933846615,1053.1030262158822,475,146,96,74,71,49,19,25,0,0
2020-07-19,109324.8596759346,1904.4412671799487,1037.25580399366,484,197,80,82,52,35,18,22,1,0
2020-07-20,109970.93402800977,1683.3301560688376,3411.5207809521853,716,778,501,348,327,238,113,142,11,0
